name,pos_x,pos_y,pos_z
Col 70 Sector AA-D b17-0,377.5625,15.28125,-1244.1875
Col 70 Sector AA-F b28-0,376.09375,-279.28125,-999.96875
Col 70 Sector AA-F b41-0,541.0,-410.125,-718.28125
Col 70 Sector AA-O b36-0,468.3125,-392.90625,-805.78125
Col 70 Sector AA-V c4-2,793.59375,-98.90625,-1419.4375
Col 70 Sector AB-M b24-0,180.65625,-281.21875,-1080.625
Col 70 Sector AC-T b21-0,777.28125,-103.8125,-1139.09375
Col 70 Sector AD-G c12-0,224.03125,-253.5625,-1068.0
Col 70 Sector AD-O b37-0,259.09375,-203.59375,-788.71875
Col 70 Sector AD-O c21-3,536.78125,-328.03125,-689.34375
Col 70 Sector AF-E a48-0,166.75,-42.5625,-1093.84375
Col 70 Sector AF-T b22-0,593.0625,105.96875,-1123.1875
Col 70 Sector AH-K b25-0,96.09375,-281.625,-1063.1875
Col 70 Sector AI-G b41-0,304.28125,-268.875,-707.3125
Col 70 Sector AI-H b27-0,59.71875,-222.3125,-1019.125
Col 70 Sector AI-Y b44-0,303.3125,-377.34375,-630.28125
Col 70 Sector AJ-D b43-0,260.96875,-221.625,-681.25
Col 70 Sector AJ-P b23-0,577.65625,-125.0,-1101.59375
Col 70 Sector AK-P b35-0,458.03125,-426.125,-826.28125
Col 70 Sector AL-D b29-0,340.96875,-250.96875,-972.59375
Col 70 Sector AL-J b40-2,671.71875,-138.53125,-728.625
Col 70 Sector AM-A b31-0,296.625,-201.75,-942.875
Col 70 Sector AM-H b41-0,544.78125,-163.8125,-720.0
Col 70 Sector AM-K d9-0,584.625,-20.96875,-819.6875
Col 70 Sector AM-L d8-17,323.71875,-297.15625,-874.65625
Col 70 Sector AN-O b37-0,347.9375,-146.65625,-787.59375
Col 70 Sector AO-D b43-1,310.53125,-193.875,-670.4375
Col 70 Sector AP-R d4-3,761.1875,-696.59375,-1202.375
Col 70 Sector AP-Z d1,741.09375,-328.0,-1538.96875
Col 70 Sector AR-H b41-0,578.5,-143.4375,-721.96875
Col 70 Sector AS-G c12-5,475.75,-131.4375,-1093.78125
Col 70 Sector AS-R b22-1,790.125,-60.46875,-1116.34375
Col 70 Sector AT-O b36-0,101.6875,-316.46875,-809.1875
Col 70 Sector AU-B c15-1,149.125,-45.3125,-961.28125
Col 70 Sector AU-Q c5-7,619.28125,-593.84375,-1347.53125
Col 70 Sector AU-S c19-5,322.5,-83.8125,-757.21875
Col 70 Sector AV-N b36-0,415.9375,-420.0,-822.75
